,Jurisdiction,year,County,DiversionRateHouse,DiversionRateNoOfEmployee,Bins,D.R.E_category,D.R.H_category,Population,MedianAge,Latino,White,Black,Asian,LaberFocre,LaberForceEmplyed,LaberForceUnemployed,UnemploymentRate,FemalesEmploymentRate,CoummuteTime,MedianIncome,PovertyRate,TotalUnit,1-UnitDetached,1-UnitAttached,MoreThan20UnitsInStructure,MedianNoOfRooms,MedianHouseValue,MedianGrossRent
293,San Gabriel,2013,Los Angeles,0.5319148936170213,0.5837988826815642,"(0.5, 0.65]",Okay,Okay,39670.0,39.7,26.6,11.8,0.6,58.5,20522.0,19320.0,1202.0,5.9,56.1,28.1,56720.0,13.7,13069.0,56.5,10.8,9.0,4.6,569100.0,1188.0
294,San Jacinto,2013,Riverside,0.7578125,0.6771771771771771,"(0.65, 0.8]",Good,Good,41203.0,31.5,53.2,36.0,4.6,3.7,17034.0,14156.0,2878.0,16.9,49.5,36.7,45567.0,17.2,14830.0,66.6,6.1,2.6,5.2,184000.0,1000.0
295,San Joaquin,2013,Fresno,0.5344827586206896,0.6273209549071619,"(0.5, 0.65]",Okay,Okay,3927.0,25.1,95.1,2.6,0.0,2.1,1193.0,1099.0,94.0,7.9,31.3,24.7,26731.0,42.9,1017.0,63.2,4.0,0.4,4.9,161400.0,456.0
297,San Jose,2013,Santa Clara,0.7307692307692308,0.7310344827586207,"(0.65, 0.8]",Good,Good,925300.0,34.8,32.6,29.8,2.8,31.6,489307.0,446962.0,42345.0,8.7,60.4,25.2,79405.0,10.8,313944.0,55.3,10.3,12.7,5.2,633800.0,1339.0
298,San Juan Capistrano,2013,Orange,0.7923728813559322,0.7810650887573964,"(0.65, 0.8]",Good,Good,34263.0,38.0,35.8,56.3,0.2,4.3,16299.0,15360.0,939.0,5.8,54.0,24.8,76686.0,11.4,11968.0,53.1,19.6,4.3,5.8,654900.0,1637.0
299,San Leandro,2013,Alameda,0.5804597701149425,0.5824175824175823,"(0.5, 0.65]",Okay,Okay,82830.0,37.5,25.7,28.1,12.6,28.8,44424.0,40278.0,4146.0,9.3,61.2,26.9,62609.0,8.6,30611.0,60.0,6.0,17.2,5.0,493300.0,1135.0
300,San Marcos,2013,San Diego,0.7078651685393258,0.6605263157894736,"(0.65, 0.8]",Good,Good,78127.0,32.6,37.0,49.3,2.4,8.4,36942.0,34020.0,2922.0,7.9,55.2,27.1,58897.0,11.3,26818.0,53.3,7.4,10.3,5.8,441400.0,1237.0
301,San Marino,2013,Los Angeles,0.6764705882352942,0.6875,"(0.65, 0.8]",Good,Good,13114.0,45.7,7.8,38.3,0.0,50.9,5847.0,5640.0,207.0,3.5,48.2,25.7,154962.0,3.5,4730.0,98.1,0.3,0.9,7.4,1000000.0,2000.0
302,San Mateo,2013,San Mateo,0.6896551724137931,0.6954887218045114,"(0.65, 0.8]",Good,Good,94751.0,38.5,24.1,48.8,2.1,19.4,54175.0,51215.0,2960.0,5.5,64.1,23.4,83850.0,5.9,39975.0,45.7,9.9,22.6,4.7,769000.0,1472.0
304,San Ramon,2013,Contra Costa,0.7719298245614035,0.6829268292682926,"(0.65, 0.8]",Good,Good,66822.0,36.8,9.5,50.4,2.4,33.7,36868.0,34510.0,2358.0,6.4,66.1,31.2,120326.0,2.9,24809.0,62.7,11.5,7.6,6.2,765400.0,1575.0
305,Sand City,2013,Monterey,0.7989949748743719,0.7333333333333334,"(0.65, 0.8]",Good,Good,234.0,38.3,28.2,63.2,5.6,3.0,135.0,108.0,27.0,20.0,53.2,16.1,55417.0,17.1,106.0,49.1,2.8,11.3,3.7,635400.0,825.0
306,Sanger,2013,Fresno,0.5,0.44444444444444453,"(0.0, 0.5]",Low,Low,23370.0,27.2,78.6,14.1,2.0,3.5,10964.0,9855.0,1109.0,10.1,55.5,24.0,42444.0,24.6,6882.0,75.7,1.1,1.8,5.2,195800.0,771.0
307,Santa Ana,2013,Orange,0.6733333333333333,0.6686390532544378,"(0.65, 0.8]",Good,Good,325216.0,28.4,78.1,9.6,1.2,10.0,161466.0,146520.0,14946.0,9.3,57.1,24.9,54877.0,17.9,77796.0,46.1,7.3,16.6,4.5,417400.0,1231.0
308,Santa Barbara,2013,Santa Barbara,0.7068965517241379,0.7065217391304348,"(0.65, 0.8]",Good,Good,87859.0,37.4,35.7,56.5,1.5,3.9,49429.0,46517.0,2912.0,5.9,61.2,16.3,61665.0,14.1,38191.0,47.6,9.0,9.8,4.4,969200.0,1373.0
309,Santa Clara,2013,Santa Clara,0.6646341463414633,0.6666666666666667,"(0.65, 0.8]",Good,Good,112466.0,34.6,17.8,37.5,2.6,37.3,61826.0,57175.0,4651.0,7.5,60.6,21.2,85294.0,8.6,44598.0,42.4,9.6,21.6,4.5,643800.0,1413.0
311,Santa Clarita,2013,Los Angeles,0.6637931034482758,0.5800000000000001,"(0.65, 0.8]",Okay,Good,172253.0,35.1,27.8,57.4,2.4,8.3,93769.0,86588.0,7181.0,7.7,63.8,32.7,82642.0,7.6,59736.0,59.6,11.4,9.0,5.5,465700.0,1474.0
312,Santa Cruz,2013,Santa Cruz,0.6764705882352942,0.6631205673758865,"(0.65, 0.8]",Good,Good,58269.0,29.9,19.0,69.5,1.3,5.7,32532.0,29818.0,2714.0,8.3,60.2,22.1,61207.0,17.8,23614.0,55.6,10.9,9.6,4.5,735600.0,1293.0
314,Santa Fe Springs,2013,Los Angeles,0.8550973654066437,0.8521897810218978,"(0.8, 1.0]",Great,Great,16376.0,35.1,78.9,13.3,3.5,2.7,7253.0,6526.0,727.0,10.0,52.3,29.0,54252.0,8.9,4749.0,62.7,2.5,19.8,5.0,426700.0,1136.0
315,Santa Maria,2013,Santa Barbara,0.6642857142857143,0.6329113924050633,"(0.65, 0.8]",Okay,Good,94645.0,28.4,69.4,23.1,1.5,4.9,44015.0,39953.0,4062.0,9.2,55.4,21.6,50208.0,17.7,28031.0,62.9,4.3,5.8,5.1,338800.0,1085.0
316,Santa Monica,2013,Los Angeles,0.7889908256880734,0.8037037037037037,"(0.65, 0.8]",Great,Good,88679.0,40.3,11.5,71.0,4.0,9.8,53197.0,49237.0,3960.0,7.4,62.9,24.9,68842.0,11.1,50015.0,19.2,3.6,25.2,3.9,985500.0,1398.0
317,Santa Paula,2013,Ventura,0.6372549019607843,0.6525096525096525,"(0.5, 0.65]",Good,Okay,29145.0,30.2,79.1,19.4,0.1,0.6,13613.0,11842.0,1771.0,13.0,56.2,25.6,51233.0,18.1,9015.0,58.4,8.2,5.1,5.0,415900.0,1080.0
318,Santee,2013,San Diego,0.7,0.6743697478991597,"(0.65, 0.8]",Good,Good,52966.0,37.4,15.9,74.1,1.2,3.9,26688.0,24764.0,1924.0,7.2,57.7,24.5,68189.0,6.3,18935.0,55.5,8.4,4.6,5.6,376900.0,1206.0
319,Saratoga,2013,Santa Clara,0.6547619047619048,0.6984536082474226,"(0.65, 0.8]",Good,Good,29523.0,46.5,3.0,53.8,0.3,39.6,12746.0,11795.0,951.0,7.5,46.1,25.0,145023.0,4.2,10858.0,84.1,6.8,4.7,7.3,1000000.0,1747.0
320,Scotts Valley,2013,Santa Cruz,0.7752808988764045,0.7388059701492538,"(0.65, 0.8]",Good,Good,11351.0,40.0,9.9,80.7,0.4,5.4,5796.0,5397.0,399.0,6.9,56.3,23.2,101673.0,4.1,4661.0,54.6,12.5,5.1,5.4,659600.0,1636.0
321,Seal Beach,2013,Orange,0.7023809523809523,0.7665369649805447,"(0.65, 0.8]",Good,Good,24081.0,58.3,9.1,79.4,0.6,8.4,9865.0,9221.0,644.0,6.5,39.9,28.7,50014.0,6.9,14403.0,32.6,10.4,8.5,4.2,329000.0,1467.0
322,Seaside,2013,Monterey,0.6346153846153846,0.6767857142857143,"(0.5, 0.65]",Good,Okay,32431.0,30.3,41.4,33.8,9.1,8.5,16719.0,15318.0,1401.0,8.4,63.2,18.7,57713.0,11.6,10766.0,62.4,11.6,3.2,5.0,556700.0,1381.0
323,Selma,2013,Fresno,0.8088235294117647,0.6848341232227488,"(0.8, 1.0]",Good,Great,22617.0,29.0,76.8,14.9,0.9,5.7,10277.0,9242.0,1035.0,10.1,58.6,23.3,44778.0,22.0,6529.0,76.9,2.0,2.5,5.2,228800.0,723.0
324,Shafter,2013,Kern,0.8343023255813953,0.9022191400832178,"(0.8, 1.0]",Great,Great,16378.0,25.4,78.8,19.7,0.5,0.0,6506.0,5829.0,677.0,10.4,50.6,23.3,35915.0,21.8,4610.0,73.7,3.4,1.7,5.1,195300.0,671.0
325,Signal Hill,2013,Los Angeles,0.6460674157303371,0.7134146341463414,"(0.5, 0.65]",Good,Okay,10700.0,35.8,32.7,27.9,12.7,22.3,6564.0,5810.0,754.0,11.5,71.6,24.4,70286.0,7.9,4524.0,32.2,14.1,19.9,4.5,461800.0,1085.0
326,Simi Valley,2013,Ventura,0.7222222222222222,0.7110091743119267,"(0.65, 0.8]",Good,Good,121662.0,37.3,23.5,65.0,1.0,7.9,67475.0,63711.0,3764.0,5.6,63.4,30.1,88675.0,5.8,41300.0,73.1,7.6,4.9,6.2,553400.0,1607.0
328,Solana Beach,2013,San Diego,0.6573033707865169,0.6916167664670658,"(0.65, 0.8]",Good,Good,12790.0,44.6,15.7,76.4,2.7,4.7,7020.0,6486.0,534.0,7.6,54.6,20.9,86908.0,7.6,6614.0,47.6,19.4,16.8,5.2,1000000.0,1787.0
330,Solvang,2013,Santa Barbara,0.6867469879518072,0.6838235294117647,"(0.65, 0.8]",Good,Good,5218.0,46.2,26.5,68.2,0.0,0.9,2729.0,2600.0,129.0,4.7,54.7,20.3,61289.0,6.0,2207.0,56.8,6.2,4.7,5.3,723900.0,1330.0
332,Sonora,2013,Tuolumne,0.7564102564102564,0.75,"(0.65, 0.8]",Good,Good,4914.0,43.5,5.4,90.0,0.2,1.0,2343.0,2102.0,241.0,10.3,50.3,23.2,30893.0,12.4,2562.0,57.3,3.5,6.8,4.3,320200.0,620.0
333,South El Monte,2013,Los Angeles,0.7838541666666666,0.7791666666666667,"(0.65, 0.8]",Good,Good,20240.0,30.8,82.3,3.3,0.0,13.9,9543.0,8826.0,717.0,7.5,51.9,27.6,46037.0,15.6,4770.0,72.7,3.7,3.4,4.9,382200.0,961.0
334,South Lake Tahoe,2013,El Dorado,0.5319148936170213,0.5635245901639344,"(0.5, 0.65]",Okay,Okay,22114.0,35.0,30.3,62.5,0.3,3.6,13239.0,12223.0,1016.0,7.7,70.6,16.0,44217.0,17.7,15370.0,62.8,2.5,3.1,4.6,386500.0,895.0
335,South Pasadena,2013,Los Angeles,0.5795454545454546,0.49683544303797467,"(0.5, 0.65]",Low,Okay,25376.0,37.5,20.8,42.9,2.3,30.8,14430.0,13551.0,879.0,6.1,67.5,27.4,82340.0,6.6,10967.0,44.6,5.8,14.0,4.7,828100.0,1322.0
336,South San Francisco,2013,San Mateo,0.536231884057971,0.4722222222222222,"(0.5, 0.65]",Low,Okay,62016.0,37.8,32.7,23.7,2.7,34.3,33827.0,31869.0,1958.0,5.8,63.1,23.5,74158.0,6.3,21576.0,59.8,12.8,9.3,5.1,648500.0,1423.0
337,Stanton,2013,Orange,0.5522388059701493,0.4943019943019943,"(0.5, 0.65]",Low,Okay,37990.0,33.9,46.8,25.4,2.0,22.1,19746.0,17783.0,1963.0,9.9,60.1,28.8,51539.0,15.7,12111.0,26.8,15.8,18.1,4.3,331300.0,1227.0
338,Stockton,2013,San Joaquin,0.6884057971014492,0.6523809523809524,"(0.65, 0.8]",Good,Good,287377.0,30.5,38.8,24.3,11.4,21.2,129487.0,111459.0,18028.0,13.9,56.2,27.0,47946.0,19.8,99376.0,64.7,7.1,8.0,5.2,276600.0,917.0
339,Suisun City,2013,Solano,0.7755102040816326,0.6280487804878049,"(0.65, 0.8]",Okay,Good,27742.0,32.7,25.2,26.9,20.5,19.0,14493.0,13151.0,1342.0,9.3,61.6,31.3,71795.0,8.9,9291.0,83.1,2.6,3.9,5.9,341400.0,1320.0
340,Sunnyvale,2013,Santa Clara,0.65,0.6204819277108434,"(0.5, 0.65]",Okay,Okay,136480.0,35.6,16.9,37.4,2.2,39.8,75914.0,70911.0,5003.0,6.6,59.0,22.2,90174.0,6.2,55838.0,38.7,8.5,19.8,4.5,707900.0,1429.0
341,Taft,2013,Kern,0.740909090909091,0.7612903225806451,"(0.65, 0.8]",Good,Good,9370.0,34.4,30.0,62.5,2.4,2.3,2876.0,2697.0,179.0,6.2,45.8,19.8,46324.0,12.9,2767.0,74.7,4.5,2.1,5.5,203300.0,652.0
342,Tehachapi,2013,Kern,0.6956521739130435,0.7170923379174852,"(0.65, 0.8]",Good,Good,14080.0,35.0,34.9,49.7,11.0,1.4,3813.0,3602.0,211.0,5.5,57.0,19.2,46067.0,14.3,3218.0,68.0,2.2,1.7,5.1,188300.0,776.0
343,Temecula,2013,Riverside,0.7266666666666667,0.6098484848484849,"(0.65, 0.8]",Okay,Good,95829.0,32.8,23.9,58.0,3.9,9.1,48315.0,44088.0,4227.0,8.7,61.5,32.8,77850.0,8.2,32221.0,79.8,2.8,5.0,6.3,384200.0,1398.0
344,Temple City,2013,Los Angeles,0.7153846153846154,0.7542372881355932,"(0.65, 0.8]",Good,Good,35222.0,40.6,19.1,22.3,0.4,56.6,18319.0,17206.0,1113.0,6.1,57.8,30.6,65668.0,7.1,11764.0,80.6,7.3,2.3,5.3,582100.0,1313.0
345,Thousand Oaks,2013,Ventura,0.7,0.6891891891891893,"(0.65, 0.8]",Good,Good,124671.0,40.2,16.5,71.4,0.9,9.0,65999.0,61835.0,4164.0,6.3,59.8,25.0,98713.0,5.1,46339.0,68.1,11.4,6.8,6.2,673500.0,1731.0
346,Tracy,2013,San Joaquin,0.7025316455696202,0.6932515337423313,"(0.65, 0.8]",Good,Good,79416.0,30.7,37.9,35.3,6.0,14.7,39833.0,35433.0,4400.0,11.0,62.7,41.4,76753.0,10.4,25449.0,81.4,3.4,3.4,6.2,386800.0,1290.0
347,Trinidad,2013,Humboldt,0.5914634146341463,0.6907216494845361,"(0.5, 0.65]",Good,Okay,259.0,44.8,0.8,98.5,0.0,0.0,170.0,159.0,11.0,6.5,71.8,20.9,48333.0,10.8,214.0,73.8,0.9,0.0,4.6,656300.0,1060.0
349,Truckee,2013,Nevada,0.7663551401869159,0.8007662835249042,"(0.65, 0.8]",Great,Good,15864.0,36.2,16.0,80.4,0.6,0.9,9933.0,9160.0,773.0,7.8,76.1,19.5,65351.0,8.6,12461.0,84.0,1.6,0.4,4.7,516300.0,1344.0
351,Tustin,2013,Orange,0.7704918032786885,0.7281553398058253,"(0.65, 0.8]",Good,Good,73731.0,33.2,37.4,36.8,2.2,20.9,40826.0,37618.0,3208.0,7.9,65.3,22.2,73170.0,9.6,26335.0,35.3,12.8,15.1,4.7,573100.0,1424.0
352,Twentynine Palms,2013,San Bernardino,0.5865384615384616,0.6339915373765868,"(0.5, 0.65]",Okay,Okay,26215.0,23.3,17.8,66.2,7.2,3.2,7102.0,6112.0,990.0,13.9,52.0,14.1,42027.0,14.2,9701.0,59.2,8.2,1.0,4.7,173100.0,885.0
353,Ukiah,2013,Mendocino,0.6826923076923077,0.7010309278350515,"(0.65, 0.8]",Good,Good,15942.0,33.9,28.0,64.6,0.8,1.8,7237.0,6478.0,759.0,10.5,58.2,14.1,42657.0,15.5,6464.0,55.4,6.3,9.6,4.8,339600.0,921.0
354,Union City,2013,Alameda,0.7619047619047619,0.7676991150442478,"(0.65, 0.8]",Good,Good,68081.0,36.4,21.9,15.4,6.1,52.5,35681.0,32997.0,2684.0,7.5,61.0,30.0,83629.0,7.3,21411.0,64.2,13.4,11.3,5.8,569300.0,1321.0
355,Upland,2013,San Bernardino,0.6346153846153846,0.6047297297297298,"(0.5, 0.65]",Okay,Okay,73887.0,35.6,37.5,44.9,5.9,9.0,38475.0,34637.0,3838.0,10.0,62.4,27.9,67567.0,8.9,26553.0,57.3,6.4,9.7,5.6,479500.0,1151.0
357,Vacaville,2013,Solano,0.6538461538461539,0.7134146341463414,"(0.65, 0.8]",Good,Good,91928.0,36.7,21.2,57.4,9.9,5.6,42953.0,40089.0,2864.0,6.7,65.3,27.6,70838.0,7.0,31780.0,71.4,3.4,5.1,5.7,377900.0,1256.0
358,Vallejo,2013,Solano,0.7181818181818183,0.7385892116182573,"(0.65, 0.8]",Good,Good,116030.0,37.5,21.4,25.8,21.7,24.3,59549.0,52396.0,7153.0,12.0,60.8,32.7,61481.0,13.9,45297.0,67.2,3.0,5.5,5.3,355300.0,1144.0
360,Vernon,2013,Los Angeles,0.8198780863917563,0.7355555555555555,"(0.8, 1.0]",Good,Great,128.0,30.4,89.8,3.1,0.0,5.5,56.0,53.0,3.0,5.4,31.3,34.4,38625.0,9.4,41.0,48.8,4.9,4.9,3.8,325000.0,855.0
361,Victorville,2013,San Bernardino,0.7906976744186046,0.6785714285714286,"(0.65, 0.8]",Good,Good,108088.0,28.4,46.4,31.5,15.0,3.7,42886.0,36860.0,6026.0,14.1,51.7,34.1,53566.0,19.4,34283.0,79.4,0.8,3.9,6.0,227300.0,1069.0
362,Villa Park,2013,Orange,0.7282608695652173,0.6693002257336342,"(0.65, 0.8]",Good,Good,5813.0,46.3,9.6,72.7,0.1,14.8,2853.0,2705.0,148.0,5.2,46.6,21.6,146776.0,2.3,1937.0,98.5,1.1,0.0,8.2,1000000.0,2000.0
363,Vista,2013,San Diego,0.5923076923076923,0.5734463276836158,"(0.5, 0.65]",Okay,Okay,92478.0,31.5,45.9,44.2,2.4,4.0,44890.0,40921.0,3969.0,8.8,56.4,26.4,52602.0,13.8,30246.0,50.4,7.8,10.0,5.2,421700.0,1217.0
364,Walnut,2013,Los Angeles,0.6111111111111112,0.5974999999999999,"(0.5, 0.65]",Okay,Okay,29327.0,41.7,18.4,14.1,2.6,62.5,14859.0,14153.0,706.0,4.8,56.9,37.1,100182.0,4.9,8661.0,95.5,0.6,2.3,6.7,650900.0,1861.0
365,Wasco,2013,Kern,0.59375,0.7476780185758514,"(0.5, 0.65]",Good,Okay,25143.0,27.7,74.9,13.8,8.0,2.5,8372.0,7313.0,1059.0,12.6,53.9,23.7,40054.0,26.3,5541.0,75.8,3.5,2.1,5.0,174000.0,568.0
366,Watsonville,2013,Santa Cruz,0.7658227848101266,0.7430167597765363,"(0.65, 0.8]",Good,Good,49580.0,29.3,78.7,15.7,0.7,3.4,24055.0,21400.0,2655.0,11.0,61.2,23.4,46675.0,18.7,14498.0,52.2,9.2,7.5,4.7,445900.0,1016.0
368,West Covina,2013,Los Angeles,0.6162790697674418,0.5508982035928143,"(0.5, 0.65]",Okay,Okay,105552.0,35.0,52.1,16.6,4.1,25.7,54136.0,49387.0,4749.0,8.8,59.6,32.3,69587.0,8.7,32200.0,64.7,9.5,15.6,5.5,465400.0,1281.0
369,West Hollywood,2013,Los Angeles,0.6120689655172413,0.6623376623376623,"(0.5, 0.65]",Good,Okay,34657.0,40.7,12.2,77.4,2.1,4.7,24849.0,22643.0,2206.0,8.9,64.4,27.2,52009.0,13.2,24683.0,9.3,2.9,38.5,3.3,656000.0,1201.0
370,West Sacramento,2013,Yolo,0.7295918367346939,0.653061224489796,"(0.65, 0.8]",Good,Good,45961.0,32.9,34.8,47.3,4.2,8.9,23593.0,21322.0,2271.0,9.6,64.3,22.2,53559.0,16.6,18287.0,62.7,5.4,6.0,5.1,293900.0,853.0
371,Westlake Village,2013,Los Angeles,0.7450331125827814,0.8433734939759037,"(0.65, 0.8]",Great,Good,8274.0,46.4,9.4,83.3,1.3,5.6,3754.0,3432.0,322.0,8.6,48.2,27.3,116213.0,3.4,3322.0,70.0,18.5,0.6,6.9,825700.0,2000.0
372,Westminster,2013,Orange,0.7301587301587302,0.723826714801444,"(0.65, 0.8]",Good,Good,88921.0,37.7,22.3,28.3,0.9,46.7,43646.0,39554.0,4092.0,9.4,56.0,26.4,57892.0,12.9,27851.0,53.9,7.4,10.6,5.1,529900.0,1263.0
373,Whittier,2013,Los Angeles,0.7222222222222223,0.6722054380664653,"(0.65, 0.8]",Good,Good,84997.0,34.3,65.3,29.3,0.7,2.9,43221.0,39905.0,3316.0,7.7,60.0,28.6,65308.0,9.2,28670.0,65.4,3.9,8.2,5.1,512400.0,1091.0
374,Willits,2013,Mendocino,0.45744680851063835,0.5105263157894737,"(0.0, 0.5]",Okay,Low,4913.0,37.5,21.2,73.0,0.0,0.0,2426.0,2124.0,302.0,12.4,56.0,18.7,40465.0,23.6,2153.0,54.0,4.5,9.1,5.0,272100.0,893.0
375,Winters,2013,Yolo,0.6454545454545455,0.6602564102564102,"(0.5, 0.65]",Good,Okay,6572.0,30.6,49.9,40.3,0.0,5.4,3605.0,3233.0,372.0,10.3,65.4,25.8,59679.0,9.2,2135.0,74.7,4.7,3.4,5.7,349300.0,984.0
376,Woodlake,2013,Tulare,0.6341463414634145,0.5547263681592041,"(0.5, 0.65]",Okay,Okay,7178.0,25.7,89.8,9.3,0.0,0.0,3080.0,2500.0,580.0,18.8,52.8,25.4,29417.0,28.2,1904.0,68.3,7.4,5.0,4.8,136600.0,572.0
377,Woodland,2013,Yolo,0.5877192982456141,0.5586206896551724,"(0.5, 0.65]",Okay,Okay,54785.0,34.7,43.7,45.9,1.1,6.5,27753.0,25291.0,2462.0,8.9,60.7,20.3,55406.0,11.2,20400.0,63.2,5.7,9.2,5.2,352100.0,935.0
378,Woodside,2013,San Mateo,0.7956204379562044,0.777027027027027,"(0.65, 0.8]",Good,Good,5237.0,45.9,8.2,83.5,0.2,4.6,2280.0,2170.0,110.0,4.8,46.9,24.7,186359.0,3.7,2106.0,95.3,2.8,0.0,7.8,1000000.0,1868.0
380,Yorba Linda,2013,Orange,0.75,0.688953488372093,"(0.65, 0.8]",Good,Good,62915.0,41.5,13.3,67.0,1.6,14.5,33684.0,32167.0,1517.0,4.5,60.0,30.8,115279.0,2.3,21665.0,78.6,9.6,2.7,6.8,765800.0,1769.0
382,Yucaipa,2013,San Bernardino,0.6777777777777778,0.6280864197530864,"(0.65, 0.8]",Okay,Good,50227.0,36.7,25.7,66.8,1.3,3.1,24654.0,22165.0,2489.0,10.1,56.4,28.9,57492.0,10.4,19348.0,68.7,2.8,1.1,5.5,299400.0,966.0
383,Yucca Valley,2013,San Bernardino,0.7608695652173912,0.7328605200945626,"(0.65, 0.8]",Good,Good,20290.0,39.8,15.1,77.7,2.5,1.7,8244.0,7602.0,642.0,7.8,48.2,28.0,45350.0,13.5,9716.0,77.4,3.1,1.3,5.2,210600.0,826.0
387,Citrus Heights,2013,Sacramento,0.6428571428571428,0.572192513368984,"(0.5, 0.65]",Okay,Okay,84351.0,36.7,15.4,74.8,3.9,3.2,45378.0,40853.0,4525.0,10.0,62.4,25.5,53552.0,11.8,36118.0,54.9,8.8,5.6,5.2,277500.0,996.0
389,Laguna Woods,2013,Orange,0.5256410256410255,0.6190476190476191,"(0.5, 0.65]",Okay,Okay,16295.0,78.0,4.4,85.5,0.8,8.3,3226.0,2872.0,354.0,11.0,19.2,22.3,34192.0,7.4,12983.0,7.0,28.5,17.0,4.2,236700.0,1375.0
390,Oakley,2013,Contra Costa,0.7027027027027026,0.6608108108108108,"(0.65, 0.8]",Good,Good,33496.0,31.8,38.7,48.4,4.7,5.3,16173.0,14439.0,1734.0,10.7,60.2,37.3,76583.0,7.4,10991.0,91.0,2.1,1.7,6.3,384300.0,1423.0
398,Elk Grove,2013,Sacramento,0.7796610169491526,0.7236363636363636,"(0.65, 0.8]",Good,Good,141200.0,33.0,18.0,38.4,10.9,25.6,72881.0,66993.0,5888.0,8.1,67.4,30.8,79457.0,8.0,47173.0,87.0,3.0,2.6,6.4,360900.0,1410.0
399,Rancho Santa Margarita,2013,Orange,0.6666666666666666,0.6855345911949686,"(0.65, 0.8]",Good,Good,47539.0,34.1,15.6,69.8,1.1,10.5,25887.0,24560.0,1327.0,5.1,64.8,27.5,99722.0,3.5,16666.0,54.2,20.5,9.3,5.7,603900.0,1623.0
400,Aliso Viejo,2013,Orange,0.6818181818181818,0.7021276595744681,"(0.65, 0.8]",Good,Good,46329.0,35.4,17.1,62.7,3.1,13.8,28313.0,26743.0,1570.0,5.5,72.9,26.0,95498.0,3.7,19036.0,36.3,26.2,14.6,4.9,558100.0,1799.0
402,Rancho Cordova,2013,Sacramento,0.7,0.6265060240963856,"(0.65, 0.8]",Okay,Good,63297.0,32.9,20.3,52.4,9.2,12.2,32765.0,28733.0,4032.0,12.3,61.0,24.1,52521.0,16.3,25479.0,56.6,6.6,9.3,5.2,265800.0,947.0
408,Adelanto,2014,San Bernardino,0.7898550724637681,0.7783251231527094,"(0.65, 0.8]",Good,Good,30670.0,24.4,51.8,18.8,20.9,2.2,10139.0,8147.0,1992.0,19.6,44.5,38.6,42208.0,27.7,8417.0,78.8,1.8,2.8,5.7,118500.0,1034.0
409,Agoura Hills,2014,Los Angeles,0.5785714285714285,0.6480263157894737,"(0.5, 0.65]",Okay,Okay,20353.0,43.2,11.4,78.4,1.6,6.1,11604.0,10742.0,862.0,7.4,67.5,28.6,108820.0,4.9,7511.0,70.3,12.0,9.1,6.7,720000.0,2000.0
410,Alameda,2014,Alameda,0.7636363636363637,0.8130841121495327,"(0.65, 0.8]",Great,Good,73239.0,40.0,11.8,43.3,6.4,32.6,40526.0,37175.0,3351.0,8.3,63.9,27.6,75832.0,10.1,31522.0,42.4,10.4,16.4,4.8,642200.0,1291.0
412,Albany,2014,Alameda,0.8200000000000001,0.8082901554404145,"(0.8, 1.0]",Great,Great,18217.0,35.9,9.7,52.6,3.0,29.0,9403.0,8890.0,513.0,5.5,61.3,29.1,72479.0,8.5,7833.0,51.9,3.0,16.2,4.7,637800.0,1504.0
413,Alhambra,2014,Los Angeles,0.6578947368421053,0.7083333333333333,"(0.65, 0.8]",Good,Good,83301.0,39.2,33.5,10.2,1.5,53.2,44605.0,41162.0,3443.0,7.7,59.4,29.0,52717.0,12.9,30751.0,43.9,12.3,10.0,4.4,505600.0,1165.0
415,Alturas,2014,Modoc,0.6102941176470589,0.7241379310344828,"(0.5, 0.65]",Good,Okay,2813.0,37.9,6.9,83.4,1.3,1.6,1168.0,1070.0,98.0,8.4,60.0,8.9,32237.0,29.2,1368.0,76.8,1.1,1.8,5.0,134800.0,594.0
416,American Canyon,2014,Napa,0.7391304347826086,0.76,"(0.65, 0.8]",Good,Good,18489.0,35.7,24.7,30.4,6.5,32.5,9486.0,8755.0,731.0,7.7,63.2,33.2,83581.0,5.8,5605.0,78.0,0.9,3.9,6.2,371700.0,1688.0
417,Anaheim,2014,Orange,0.6158536585365854,0.6104294478527608,"(0.5, 0.65]",Okay,Okay,335057.0,32.1,53.0,27.9,2.4,14.5,173094.0,154393.0,18701.0,10.8,60.3,26.8,59330.0,14.3,104663.0,43.5,8.8,18.1,4.6,457800.0,1314.0
418,Antioch,2014,Contra Costa,0.6547619047619048,0.656108597285068,"(0.65, 0.8]",Good,Good,101118.0,32.9,32.1,35.2,17.2,9.6,49712.0,43571.0,6141.0,12.4,58.8,38.1,66479.0,14.0,34627.0,78.4,4.7,5.5,6.0,302700.0,1279.0
419,Apple Valley,2014,San Bernardino,0.7196969696969697,0.7222222222222222,"(0.65, 0.8]",Good,Good,68316.0,35.9,28.7,56.9,10.2,2.0,29023.0,24716.0,4307.0,14.8,51.4,29.8,50664.0,18.6,25622.0,76.7,2.7,1.3,5.9,230300.0,986.0
420,Arcadia,2014,Los Angeles,0.6774193548387097,0.7009132420091324,"(0.65, 0.8]",Good,Good,55993.0,41.3,12.9,26.9,1.1,56.7,28017.0,26667.0,1350.0,4.8,54.8,28.5,77221.0,8.7,19948.0,59.7,11.2,9.7,5.5,793100.0,1390.0
